match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
3825668,2015-11-22,La Liga,2015/2016,Sporting Gijón,Levante UD,0,3,-1.3663561568420735,-0.8745171973859516,-0.4918389594561219,away,Levante UD,True,2.404593535,2.2970495296999998
3879623,2015-11-22,Serie A,2015/2016,Fiorentina,Empoli,2,2,0.6677653967046732,0.05847297816259647,0.6092924185420767,home,Fiorentina,False,1.3537115180000003,0.5832726364
3879625,2015-11-22,Serie A,2015/2016,Udinese,Sampdoria,1,0,-0.5694826276717818,0.16945864194060847,-0.7389412696123903,away,Sampdoria,False,0.68334619,0.505305527
3890374,2015-11-22,1. Bundesliga,2015/2016,Ingolstadt,Darmstadt 98,3,1,-0.7613894397750631,-0.17013592321481472,-0.5912535165602484,away,Darmstadt 98,False,2.1678445901999996,0.53013099
3825669,2015-11-23,La Liga,2015/2016,Getafe,Rayo Vallecano,1,1,-1.3116386729444174,-0.679808548433995,-0.6318301245104224,away,Rayo Vallecano,False,0.658597248,1.7225366605999997
3754028,2015-11-28,Premier League,2015/2016,Manchester City,Southampton,3,1,0.8301398873684994,0.20644705397054333,0.6236928333979561,home,Manchester City,True,1.669690246,1.1941824209999998
3754150,2015-11-28,Premier League,2015/2016,Sunderland,Stoke City,2,0,-0.3167567392698551,-0.8266484229040347,0.5098916836341796,home,Sunderland,True,1.208077326,0.9730449560000001
3754186,2015-11-28,Premier League,2015/2016,Leicester City,Manchester United,1,1,0.5986027405606542,-0.28416878207504026,0.8827715226356945,home,Leicester City,False,0.43938772900000006,0.8784997589999999
3890378,2015-11-28,1. Bundesliga,2015/2016,Bayern Munich,Hertha Berlin,2,0,1.4401236274811224,0.286968868157926,1.1531547593231966,home,Bayern Munich,True,3.7367588720000007,0.34009863100000004
3890380,2015-11-28,1. Bundesliga,2015/2016,Hannover 96,Ingolstadt,4,0,-0.24743028504002929,-0.9867296887561022,0.739299403716073,home,Hannover 96,True,1.0574945910000002,0.3765137204
3890381,2015-11-28,1. Bundesliga,2015/2016,FSV Mainz 05,Eintracht Frankfurt,2,1,-0.07548098829581779,-0.6967158501399232,0.6212348618441055,home,FSV Mainz 05,True,1.7227353834999999,0.8207025142000001
3900524,2015-11-28,Ligue 1,2015/2016,Gazélec Ajaccio,Lorient,1,1,-0.7294301652511068,0.03038276012889416,-0.759812925380001,away,Lorient,False,1.2203997119999999,0.9895173359999999
3754047,2015-11-29,Premier League,2015/2016,Liverpool,Swansea City,1,0,0.42093461429003093,-0.08660062084745215,0.5075352351374831,home,Liverpool,True,1.504164726,0.429181391
3754093,2015-11-29,Premier League,2015/2016,Tottenham Hotspur,Chelsea,0,0,-0.18198097258852214,0.24484035035681814,-0.42682132294534025,away,Chelsea,False,0.512618649,0.271854425
3754235,2015-11-29,Premier League,2015/2016,West Ham United,West Bromwich Albion,1,1,-0.0923689000021464,-0.6712292538572651,0.5788603538551187,home,West Ham United,False,1.717771349,0.721320146
3825675,2015-11-29,La Liga,2015/2016,Rayo Vallecano,Athletic Club,0,3,-0.5221660689887828,-0.9667579247395309,0.4445918557507481,home,Rayo Vallecano,False,1.6072587554000002,2.259916768
3825678,2015-11-29,La Liga,2015/2016,Eibar,Real Madrid,0,2,-0.33347844434030344,0.29052468820988625,-0.6240031325501897,away,Real Madrid,True,0.335409081,2.4636943369999997
3879629,2015-11-29,Serie A,2015/2016,Frosinone,Hellas Verona,3,2,-0.5839106338887667,-1.0372213514362638,0.4533107175474971,home,Frosinone,True,2.1048856688,0.834807122
3879632,2015-11-29,Serie A,2015/2016,AS Roma,Atalanta,0,2,0.6945751254093128,0.07012239712602555,0.6244527282832872,home,AS Roma,False,1.0228086936,1.4139091320000001
3879633,2015-11-29,Serie A,2015/2016,Empoli,Lazio,1,0,-0.4470572899816101,0.11443172442683991,-0.56148901440845,away,Lazio,False,0.278291918,0.9356866045999999
3890383,2015-11-29,1. Bundesliga,2015/2016,Augsburg,Wolfsburg,0,0,0.29796439858856416,-0.3792345443212731,0.6771989429098373,home,Augsburg,False,1.0467867685000003,0.7276681535
3879636,2015-11-30,Serie A,2015/2016,Sassuolo,Fiorentina,1,1,0.08231547693317243,0.6397730909946193,-0.5574576140614469,away,Fiorentina,False,0.819468883,1.705977479
3900532,2015-12-01,Ligue 1,2015/2016,Angers,Paris Saint-Germain,0,0,0.2756919895004931,0.9956219570635714,-0.7199299675630783,away,Paris Saint-Germain,False,0.342673703,0.812336745
3900533,2015-12-02,Ligue 1,2015/2016,AS Monaco,Caen,1,1,0.33465270466870534,-0.09506778725746046,0.4297204919261658,home,AS Monaco,False,0.9673935760000001,0.4749134357
